rank	severity	rule_id	pdb	ligand	message	count	recency	file	sample	hint
1	hard	ligprep.rdkit_valence	2025		RDKit sanitize/valence/kekulize error(s)	23		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251008_020419.log	[02:05:30] Can't kekulize mol.  Unkekulized atoms: 19 20 21 22 23	Quarantine; consider pre-sanitize with RDKit, fix aromaticity, add hydrogens earlier.
2	hard	ligprep.rdkit_valence	3CS9		RDKit sanitize/valence/kekulize error(s)	4		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251008_020419.log	[02:05:31] sanitize [02:05:31] /stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3CS9/ligands_raw/NIL_A600.sanitized.sanitized.pdb: WARNING:root:[obabel primary stderr] 1 molecule converted	Quarantine; consider pre-sanitize with RDKit, fix aromaticity, add hydrogens earlier.
3	hard	ligprep.mgl_partial_write	2025		Partial write during conversion	3		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251008_020419.log	WARNING: 20 atoms of 23 in RXT_A601.sanitized.sanitized.mol2  were not written	Conversion partial; capture stderr, retry fallback, then quarantine if persistent.
4	hard	ligprep.rdkit_valence	6U4J		RDKit sanitize/valence/kekulize error(s)	2		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251008_020419.log	[02:05:31] sanitize [02:05:31] /stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6U4J/ligands_raw/PWV_B504.sanitized.sanitized.pdb: [02:05:31] /stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/5L7I/ligands_raw/VIS_A1202.sanitized.sanitized.pdb: Warning - no explicit hydrogens in mol2 file but needed for formal charge estimation.	Quarantine; consider pre-sanitize with RDKit, fix aromaticity, add hydrogens earlier.
5	hard	ligprep.rdkit_valence	6O0L		RDKit sanitize/valence/kekulize error(s)	2		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251008_020419.log	[02:05:31] sanitize [02:05:31] /stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6O0L/ligands_raw/LBM_C301.sanitized.sanitized.pdb: Saved fixed PDB to /stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4XV2/ligands_raw/P06_A801.sanitized.sanitized.pdb	Quarantine; consider pre-sanitize with RDKit, fix aromaticity, add hydrogens earlier.
6	hard	ligprep.rdkit_valence	4XV2		RDKit sanitize/valence/kekulize error(s)	2		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251008_020419.log	[02:05:31] sanitize [02:05:31] /stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4XV2/ligands_raw/P06_A801.sanitized.sanitized.pdb: WARNING:root:MGLTools failed for RXT_A601.sanitized.sanitized.mol2 (will try fallback):	Quarantine; consider pre-sanitize with RDKit, fix aromaticity, add hydrogens earlier.
7	hard	ligprep.rdkit_valence	2WGJ		RDKit sanitize/valence/kekulize error(s)	1	2025-10-08 02:05:30	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251008_020419.log	[02:05:30] sanitize [02:05:30] /stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2WGJ/ligands_raw/VGH_A2346.sanitized.sanitized.pdb: 2025-10-08 02:05:30,835 - INFO - [prep] running ligand prep (raw newer than prepped or first run).	Quarantine; consider pre-sanitize with RDKit, fix aromaticity, add hydrogens earlier.
8	hard	ligprep.rdkit_valence	3OG7		RDKit sanitize/valence/kekulize error(s)	1	2025-10-08 02:05:30	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251008_020419.log	[02:05:30] sanitize [02:05:30] /stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3OG7/ligands_raw/032_A1.sanitized.sanitized.pdb: 2025-10-08 02:05:30,860 - INFO - FORCE_REPROCESS=True | cleaned_exists=True receptor_exists=False	Quarantine; consider pre-sanitize with RDKit, fix aromaticity, add hydrogens earlier.
9	hard	ligprep.rdkit_valence	6O0K		RDKit sanitize/valence/kekulize error(s)	1		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251008_020419.log	[02:05:31] sanitize [02:05:31] /stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6O0K/ligands_raw/LBM_A301.sanitized.sanitized.pdb: WARNING:root:[obabel primary stderr] 1 molecule converted	Quarantine; consider pre-sanitize with RDKit, fix aromaticity, add hydrogens earlier.
10	hard	ligprep.rdkit_valence	5L2I		RDKit sanitize/valence/kekulize error(s)	1		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251008_020419.log	[02:05:31] sanitize [02:05:31] /stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/5L2I/ligands_raw/LQQ_A900.sanitized.sanitized.pdb: Saved fixed PDB to /stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2GQG/ligands_raw/1N1_B502.sanitized.sanitized.pdb	Quarantine; consider pre-sanitize with RDKit, fix aromaticity, add hydrogens earlier.
