rank	severity	rule_id	pdb	ligand	message	count	recency	file	sample	hint	step	paths
1	soft	render.enqueue_none	4XUF	4XUF_NOLIG_cleaned	Controls/RDK not enqueued	1	2025-10-12 01:03:08	docked/4XUF/protein.log	2025-10-12 01:03:08,725 - INFO - [render-enqueue] 4XUF bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4XUF_NOLIG/receptor/4XUF_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/4XUF.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/4XUF/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/4XUF/protein.log
2	soft	render.enqueue_none	4XUF	4XUF_NOLIG_cleaned	Controls/RDK not enqueued	1	2025-10-12 01:03:08	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251012_005555.log	2025-10-12 01:03:08,725 - INFO - [render-enqueue] 4XUF bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4XUF_NOLIG/receptor/4XUF_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/4XUF.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/4XUF/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/4XUF/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251012_005555.log
3	soft	render.enqueue_none	3OG7	3OG7_NOLIG_cleaned	Controls/RDK not enqueued	1	2025-10-12 01:03:05	docked/3OG7/protein.log	2025-10-12 01:03:05,694 - INFO - [render-enqueue] 3OG7 bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3OG7_NOLIG/receptor/3OG7_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/3OG7.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/3OG7/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/3OG7/protein.log
4	soft	render.enqueue_none	3OG7	3OG7_NOLIG_cleaned	Controls/RDK not enqueued	1	2025-10-12 01:03:05	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251012_005555.log	2025-10-12 01:03:05,694 - INFO - [render-enqueue] 3OG7 bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3OG7_NOLIG/receptor/3OG7_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/3OG7.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/3OG7/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/3OG7/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251012_005555.log
5	soft	render.enqueue_none	5I96	5I96_NOLIG_cleaned	Controls/RDK not enqueued	1	2025-10-12 01:03:03	docked/5I96/protein.log	2025-10-12 01:03:03,295 - INFO - [render-enqueue] 5I96 bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/5I96_NOLIG/receptor/5I96_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/5I96.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/5I96/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/5I96/protein.log
6	soft	render.enqueue_none	6U4J	6U4J_NOLIG_cleaned	Controls/RDK not enqueued	1	2025-10-12 01:03:03	docked/6U4J/protein.log	2025-10-12 01:03:03,828 - INFO - [render-enqueue] 6U4J bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6U4J_NOLIG/receptor/6U4J_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/6U4J.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/6U4J/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/6U4J/protein.log
7	soft	render.enqueue_none	5I96	5I96_NOLIG_cleaned	Controls/RDK not enqueued	1	2025-10-12 01:03:03	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251012_005555.log	2025-10-12 01:03:03,295 - INFO - [render-enqueue] 5I96 bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/5I96_NOLIG/receptor/5I96_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/5I96.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/5I96/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/5I96/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251012_005555.log
8	soft	render.enqueue_none	6U4J	6U4J_NOLIG_cleaned	Controls/RDK not enqueued	1	2025-10-12 01:03:03	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251012_005555.log	2025-10-12 01:03:03,828 - INFO - [render-enqueue] 6U4J bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6U4J_NOLIG/receptor/6U4J_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/6U4J.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/6U4J/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/6U4J/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251012_005555.log
9	soft	render.enqueue_none	6WTN	6WTN_NOLIG_cleaned	Controls/RDK not enqueued	1	2025-10-12 01:03:02	docked/6WTN/protein.log	2025-10-12 01:03:02,737 - INFO - [render-enqueue] 6WTN bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6WTN_NOLIG/receptor/6WTN_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/6WTN.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/6WTN/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/6WTN/protein.log
10	soft	render.enqueue_none	6WTN	6WTN_NOLIG_cleaned	Controls/RDK not enqueued	1	2025-10-12 01:03:02	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251012_005555.log	2025-10-12 01:03:02,737 - INFO - [render-enqueue] 6WTN bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6WTN_NOLIG/receptor/6WTN_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/6WTN.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/6WTN/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/6WTN/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251012_005555.log
11	soft	render.enqueue_none	2WGJ	2WGJ_NOLIG_cleaned	Controls/RDK not enqueued	1	2025-10-12 01:02:59	docked/2WGJ/protein.log	2025-10-12 01:02:59,906 - INFO - [render-enqueue] 2WGJ bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2WGJ_NOLIG/receptor/2WGJ_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/2WGJ.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/2WGJ/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/2WGJ/protein.log
12	soft	render.enqueue_none	2WGJ	2WGJ_NOLIG_cleaned	Controls/RDK not enqueued	1	2025-10-12 01:02:59	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251012_005555.log	2025-10-12 01:02:59,906 - INFO - [render-enqueue] 2WGJ bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2WGJ_NOLIG/receptor/2WGJ_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/2WGJ.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/2WGJ/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/2WGJ/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251012_005555.log
13	soft	render.enqueue_none	3OXZ	3OXZ_NOLIG_cleaned	Controls/RDK not enqueued	1	2025-10-12 01:02:56	docked/3OXZ/protein.log	2025-10-12 01:02:56,003 - INFO - [render-enqueue] 3OXZ bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3OXZ_NOLIG/receptor/3OXZ_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/3OXZ.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/3OXZ/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/3OXZ/protein.log
14	soft	render.enqueue_none	3OXZ	3OXZ_NOLIG_cleaned	Controls/RDK not enqueued	1	2025-10-12 01:02:56	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251012_005555.log	2025-10-12 01:02:56,003 - INFO - [render-enqueue] 3OXZ bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3OXZ_NOLIG/receptor/3OXZ_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/3OXZ.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/3OXZ/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/3OXZ/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251012_005555.log
15	soft	render.enqueue_none	3ZBF	3ZBF_NOLIG_cleaned	Controls/RDK not enqueued	1	2025-10-12 01:02:55	docked/3ZBF/protein.log	2025-10-12 01:02:55,085 - INFO - [render-enqueue] 3ZBF bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3ZBF_NOLIG/receptor/3ZBF_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/3ZBF.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/3ZBF/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/3ZBF/protein.log
16	soft	render.enqueue_none	3ZBF	3ZBF_NOLIG_cleaned	Controls/RDK not enqueued	1	2025-10-12 01:02:55	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251012_005555.log	2025-10-12 01:02:55,085 - INFO - [render-enqueue] 3ZBF bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3ZBF_NOLIG/receptor/3ZBF_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/3ZBF.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/3ZBF/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/3ZBF/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251012_005555.log
17	soft	render.enqueue_none	5L2I	5L2I_NOLIG_cleaned	Controls/RDK not enqueued	1	2025-10-12 01:02:52	docked/5L2I/protein.log	2025-10-12 01:02:52,140 - INFO - [render-enqueue] 5L2I bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/5L2I_NOLIG/receptor/5L2I_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/5L2I.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/5L2I/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/5L2I/protein.log
18	soft	render.enqueue_none	5L2I	5L2I_NOLIG_cleaned	Controls/RDK not enqueued	1	2025-10-12 01:02:52	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251012_005555.log	2025-10-12 01:02:52,140 - INFO - [render-enqueue] 5L2I bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/5L2I_NOLIG/receptor/5L2I_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/5L2I.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/5L2I/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/5L2I/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251012_005555.log
19	soft	render.enqueue_none	3ZOS	3ZOS_NOLIG_cleaned	Controls/RDK not enqueued	1	2025-10-12 01:02:51	docked/3ZOS/protein.log	2025-10-12 01:02:51,579 - INFO - [render-enqueue] 3ZOS bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3ZOS_NOLIG/receptor/3ZOS_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/3ZOS.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/3ZOS/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/3ZOS/protein.log
20	soft	render.enqueue_none	3ZOS	3ZOS_NOLIG_cleaned	Controls/RDK not enqueued	1	2025-10-12 01:02:51	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251012_005555.log	2025-10-12 01:02:51,579 - INFO - [render-enqueue] 3ZOS bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3ZOS_NOLIG/receptor/3ZOS_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/3ZOS.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/3ZOS/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/3ZOS/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251012_005555.log
21	soft	render.enqueue_none	3LXK	3LXK_NOLIG_cleaned	Controls/RDK not enqueued	1	2025-10-12 01:02:45	docked/3LXK/protein.log	2025-10-12 01:02:45,065 - INFO - [render-enqueue] 3LXK bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3LXK_NOLIG/receptor/3LXK_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/3LXK.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/3LXK/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/3LXK/protein.log
22	soft	render.enqueue_none	3LXK	3LXK_NOLIG_cleaned	Controls/RDK not enqueued	1	2025-10-12 01:02:45	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251012_005555.log	2025-10-12 01:02:45,065 - INFO - [render-enqueue] 3LXK bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3LXK_NOLIG/receptor/3LXK_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/3LXK.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/3LXK/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/3LXK/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251012_005555.log
23	soft	render.enqueue_none	4U5J	4U5J_NOLIG_cleaned	Controls/RDK not enqueued	1	2025-10-12 01:02:41	docked/4U5J/protein.log	2025-10-12 01:02:41,841 - INFO - [render-enqueue] 4U5J bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4U5J_NOLIG/receptor/4U5J_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/4U5J.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/4U5J/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/4U5J/protein.log
24	soft	render.enqueue_none	6JQR	6JQR_NOLIG_cleaned	Controls/RDK not enqueued	1	2025-10-12 01:02:41	docked/6JQR/protein.log	2025-10-12 01:02:41,352 - INFO - [render-enqueue] 6JQR bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6JQR_NOLIG/receptor/6JQR_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/6JQR.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/6JQR/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/6JQR/protein.log
25	soft	render.enqueue_none	6JQR	6JQR_NOLIG_cleaned	Controls/RDK not enqueued	1	2025-10-12 01:02:41	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251012_005555.log	2025-10-12 01:02:41,352 - INFO - [render-enqueue] 6JQR bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6JQR_NOLIG/receptor/6JQR_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/6JQR.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/6JQR/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/6JQR/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251012_005555.log
