rank	severity	rule_id	pdb	ligand	message	count	recency	file	sample	hint
1	hard	ligprep.rdkit_valence	2025		RDKit sanitize/valence/kekulize error(s)	5		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251009_234131.log	[23:42:58] Explicit valence for atom # 10 O, 3, is greater than permitted	Quarantine; consider pre-sanitize with RDKit, fix aromaticity, add hydrogens earlier.
2	hard	ligprep.mgl_partial_write	2025		Partial write during conversion	1		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251009_234131.log	WARNING: 88 atoms of 98 in CDL_A502.sanitized.mol2  were not written	Conversion partial; capture stderr, retry fallback, then quarantine if persistent.
3	soft	render.enqueue_none	2025		Controls/RDK not enqueued	25	2025-10-09 23:49:47	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251009_234131.log	2025-10-09 23:45:50,782 - INFO - [render-enqueue] 6O0L bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6O0L/receptor/6O0L_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/6O0L.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
4	soft	ligprep.obabel_h_charge	6ADQ		OpenBabel H/charge warning(s)	2		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251009_234131.log	[23:43:00] /stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6ADQ/ligands_raw/MQ9_O304.sanitized.pdb: Warning - no explicit hydrogens in mol2 file but needed for formal charge estimation.	Run Reduce/OpenBabel addH; if Reduce already ran, try -nohyd branch then addH fallback.
5	soft	render.enqueue_none	5L2I		Controls/RDK not enqueued	1	2025-10-09 23:49:47	docked/5L2I/protein.log	2025-10-09 23:49:47,863 - INFO - [render-enqueue] 5L2I bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/5L2I/receptor/5L2I_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/5L2I.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
6	soft	render.enqueue_none	3G0E		Controls/RDK not enqueued	1	2025-10-09 23:49:21	docked/3G0E/protein.log	2025-10-09 23:49:21,543 - INFO - [render-enqueue] 3G0E bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3G0E/receptor/3G0E_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/3G0E.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
7	soft	render.enqueue_none	3OXZ		Controls/RDK not enqueued	1	2025-10-09 23:49:18	docked/3OXZ/protein.log	2025-10-09 23:49:18,165 - INFO - [render-enqueue] 3OXZ bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3OXZ/receptor/3OXZ_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/3OXZ.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
8	soft	render.enqueue_none	5I96		Controls/RDK not enqueued	1	2025-10-09 23:49:18	docked/5I96/protein.log	2025-10-09 23:49:18,843 - INFO - [render-enqueue] 5I96 bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/5I96/receptor/5I96_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/5I96.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
9	soft	render.enqueue_none	2XP2		Controls/RDK not enqueued	1	2025-10-09 23:49:14	docked/2XP2/protein.log	2025-10-09 23:49:14,633 - INFO - [render-enqueue] 2XP2 bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2XP2/receptor/2XP2_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/2XP2.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
10	soft	render.enqueue_none	3LXK		Controls/RDK not enqueued	1	2025-10-09 23:49:11	docked/3LXK/protein.log	2025-10-09 23:49:11,584 - INFO - [render-enqueue] 3LXK bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3LXK/receptor/3LXK_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/3LXK.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
