rank	severity	rule_id	pdb	ligand	message	count	recency	file	sample	hint
1	hard	ligprep.rdkit_valence	2025		RDKit sanitize/valence/kekulize error(s)	6		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251007_184442.log	[RDKit] ERROR:[18:44:58] Explicit valence for atom # 18 He, 1, is greater than permitted	Quarantine; consider pre-sanitize with RDKit, fix aromaticity, add hydrogens earlier.
2	hard	dock.no_score	1T46	STI_A3.pdbqt	No score for 1 ligand(s)	1	2025-10-07 18:45:05	docked/1T46/protein.log	2025-10-07 18:45:05,550 - WARNING - No score for STI_A3.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
3	hard	dock.no_score	1T46	STI_A3.sanitized.pdbqt	No score for 1 ligand(s)	1	2025-10-07 18:45:05	docked/1T46/protein.log	2025-10-07 18:45:05,553 - WARNING - No score for STI_A3.sanitized.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
4	hard	dock.no_score	1T46	rdk_0000067.pdbqt	No score for 1 ligand(s)	1	2025-10-07 18:45:05	docked/1T46/protein.log	2025-10-07 18:45:05,589 - WARNING - No score for rdk_0000067.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
5	hard	dock.no_score	1T46	rdk_0000043.pdbqt	No score for 1 ligand(s)	1	2025-10-07 18:45:05	docked/1T46/protein.log	2025-10-07 18:45:05,589 - WARNING - No score for rdk_0000043.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
6	hard	dock.no_score	1T46	rdk_0002911.pdbqt	No score for 1 ligand(s)	1	2025-10-07 18:45:05	docked/1T46/protein.log	2025-10-07 18:45:05,589 - WARNING - No score for rdk_0002911.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
7	hard	dock.no_score	1T46	rdk_0000010.pdbqt	No score for 1 ligand(s)	1	2025-10-07 18:45:05	docked/1T46/protein.log	2025-10-07 18:45:05,589 - WARNING - No score for rdk_0000010.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
8	hard	dock.no_score	1T46	rdk_0000123.pdbqt	No score for 1 ligand(s)	1	2025-10-07 18:45:05	docked/1T46/protein.log	2025-10-07 18:45:05,591 - WARNING - No score for rdk_0000123.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
9	hard	dock.no_score	1T46	rdk_0000076.pdbqt	No score for 1 ligand(s)	1	2025-10-07 18:45:05	docked/1T46/protein.log	2025-10-07 18:45:05,592 - WARNING - No score for rdk_0000076.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
10	hard	dock.no_score	1T46	rdk_0000119.pdbqt	No score for 1 ligand(s)	1	2025-10-07 18:45:05	docked/1T46/protein.log	2025-10-07 18:45:05,595 - WARNING - No score for rdk_0000119.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
11	hard	dock.no_score	1T46	rdk_0000125.pdbqt	No score for 1 ligand(s)	1	2025-10-07 18:45:05	docked/1T46/protein.log	2025-10-07 18:45:05,598 - WARNING - No score for rdk_0000125.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
12	hard	dock.no_score	1T46	rdk_0000160.pdbqt	No score for 1 ligand(s)	1	2025-10-07 18:45:05	docked/1T46/protein.log	2025-10-07 18:45:05,598 - WARNING - No score for rdk_0000160.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
13	hard	dock.no_score	2025	STI_A3.pdbqt	No score for 1 ligand(s)	1	2025-10-07 18:45:05	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251007_184442.log	2025-10-07 18:45:05,550 - WARNING - No score for STI_A3.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
14	hard	dock.no_score	2025	STI_A3.sanitized.pdbqt	No score for 1 ligand(s)	1	2025-10-07 18:45:05	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251007_184442.log	2025-10-07 18:45:05,553 - WARNING - No score for STI_A3.sanitized.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
15	hard	dock.no_score	2025	rdk_0000067.pdbqt	No score for 1 ligand(s)	1	2025-10-07 18:45:05	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251007_184442.log	Docking (bench_pocket1_single):   0%|          | 0/9 [00:00<?, ?ligand/s][A2025-10-07 18:45:05,589 - WARNING - No score for rdk_0000067.pdbqt	Check ligand_prep_status.tsv for this ligand; verify docking ran; inspect pocket center/grid logs.
