rank	severity	rule_id	pdb	ligand	message	count	recency	file	sample	hint
1	hard	ligprep.rdkit_valence	2025		RDKit sanitize/valence/kekulize error(s)	8		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251008_230640.log	[23:08:02] Explicit valence for atom # 10 O, 3, is greater than permitted	Quarantine; consider pre-sanitize with RDKit, fix aromaticity, add hydrogens earlier.
2	hard	ligprep.mgl_partial_write	2025		Partial write during conversion	1		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251008_230640.log	WARNING: 79 atoms of 84 in CDL_F606.sanitized.sanitized.mol2  were not written	Conversion partial; capture stderr, retry fallback, then quarantine if persistent.
3	soft	render.enqueue_none	2025		Controls/RDK not enqueued	12	2025-10-08 23:11:13	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251008_230640.log	2025-10-08 23:09:31,307 - INFO - [render-enqueue] 6O0K bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6O0K_NOLIG/receptor/6O0K_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/6O0K.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
4	soft	ligprep.obabel_h_charge	6ADQ		OpenBabel H/charge warning(s)	2		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251008_230640.log	[23:08:37] /stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6ADQ/ligands_raw/9YF_M504.sanitized.pdb: Warning - no explicit hydrogens in mol2 file but needed for formal charge estimation.	Run Reduce/OpenBabel addH; if Reduce already ran, try -nohyd branch then addH fallback.
5	soft	render.enqueue_none	3ZOS		Controls/RDK not enqueued	1	2025-10-08 23:11:13	docked/3ZOS/protein.log	2025-10-08 23:11:13,288 - INFO - [render-enqueue] 3ZOS bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3ZOS_NOLIG/receptor/3ZOS_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/3ZOS.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
6	soft	render.enqueue_none	4RT7		Controls/RDK not enqueued	1	2025-10-08 23:11:06	docked/4RT7/protein.log	2025-10-08 23:11:06,617 - INFO - [render-enqueue] 4RT7 bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4RT7_NOLIG/receptor/4RT7_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/4RT7.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
7	soft	render.enqueue_none	4XUF		Controls/RDK not enqueued	1	2025-10-08 23:10:59	docked/4XUF/protein.log	2025-10-08 23:10:59,763 - INFO - [render-enqueue] 4XUF bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4XUF_NOLIG/receptor/4XUF_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/4XUF.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
8	soft	render.enqueue_none	2WGJ		Controls/RDK not enqueued	1	2025-10-08 23:10:57	docked/2WGJ/protein.log	2025-10-08 23:10:57,852 - INFO - [render-enqueue] 2WGJ bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2WGJ_NOLIG/receptor/2WGJ_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/2WGJ.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
9	soft	render.enqueue_none	5L2I		Controls/RDK not enqueued	1	2025-10-08 23:10:57	docked/5L2I/protein.log	2025-10-08 23:10:57,416 - INFO - [render-enqueue] 5L2I bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/5L2I_NOLIG/receptor/5L2I_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/5L2I.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
10	soft	render.enqueue_none	2HYY		Controls/RDK not enqueued	1	2025-10-08 23:10:28	docked/2HYY/protein.log	2025-10-08 23:10:28,945 - INFO - [render-enqueue] 2HYY bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2HYY_NOLIG/receptor/2HYY_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/2HYY.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
