rank	severity	rule_id	pdb	ligand	message	count	recency	file	sample	hint
1	hard	ligprep.rdkit_valence	2025		RDKit sanitize/valence/kekulize error(s)	7		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251008_203904.log	[20:40:24] Explicit valence for atom # 10 O, 3, is greater than permitted	Quarantine; consider pre-sanitize with RDKit, fix aromaticity, add hydrogens earlier.
2	hard	ligprep.mgl_partial_write	2025		Partial write during conversion	1		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251008_203904.log	WARNING: 72 atoms of 77 in CDL_N604.sanitized.mol2  were not written	Conversion partial; capture stderr, retry fallback, then quarantine if persistent.
3	soft	render.enqueue_none	2025		Controls/RDK not enqueued	12	2025-10-08 20:43:01	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251008_203904.log	2025-10-08 20:41:26,523 - INFO - [render-enqueue] 6O0K bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6O0K_NOLIG/receptor/6O0K_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/6O0K.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
4	soft	ligprep.obabel_h_charge	6ADQ		OpenBabel H/charge warning(s)	3		/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251008_203904.log	[20:40:40] /stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6ADQ/ligands_raw/9YF_C303.sanitized.sanitized.pdb: Warning - no explicit hydrogens in mol2 file but needed for formal charge estimation.	Run Reduce/OpenBabel addH; if Reduce already ran, try -nohyd branch then addH fallback.
5	soft	render.enqueue_none	4XUF		Controls/RDK not enqueued	1	2025-10-08 20:43:01	docked/4XUF/protein.log	2025-10-08 20:43:01,066 - INFO - [render-enqueue] 4XUF bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4XUF_NOLIG/receptor/4XUF_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/4XUF.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
6	soft	render.enqueue_none	3ZOS		Controls/RDK not enqueued	1	2025-10-08 20:42:54	docked/3ZOS/protein.log	2025-10-08 20:42:54,313 - INFO - [render-enqueue] 3ZOS bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3ZOS_NOLIG/receptor/3ZOS_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/3ZOS.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
7	soft	render.enqueue_none	2HYY		Controls/RDK not enqueued	1	2025-10-08 20:42:53	docked/2HYY/protein.log	2025-10-08 20:42:53,976 - INFO - [render-enqueue] 2HYY bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2HYY_NOLIG/receptor/2HYY_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/2HYY.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
8	soft	render.enqueue_none	4RT7		Controls/RDK not enqueued	1	2025-10-08 20:42:33	docked/4RT7/protein.log	2025-10-08 20:42:33,394 - INFO - [render-enqueue] 4RT7 bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4RT7_NOLIG/receptor/4RT7_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/4RT7.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
9	soft	render.enqueue_none	2WGJ		Controls/RDK not enqueued	1	2025-10-08 20:42:30	docked/2WGJ/protein.log	2025-10-08 20:42:30,680 - INFO - [render-enqueue] 2WGJ bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2WGJ_NOLIG/receptor/2WGJ_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/2WGJ.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
10	soft	render.enqueue_none	5L7I		Controls/RDK not enqueued	1	2025-10-08 20:42:23	docked/5L7I/protein.log	2025-10-08 20:42:23,880 - INFO - [render-enqueue] 5L7I bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/5L7I_NOLIG/receptor/5L7I_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/5L7I.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
11	soft	render.enqueue_none	5L2I		Controls/RDK not enqueued	1	2025-10-08 20:42:08	docked/5L2I/protein.log	2025-10-08 20:42:08,771 - INFO - [render-enqueue] 5L2I bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/5L2I_NOLIG/receptor/5L2I_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/5L2I.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
12	soft	render.enqueue_none	2GQG		Controls/RDK not enqueued	1	2025-10-08 20:42:02	docked/2GQG/protein.log	2025-10-08 20:42:02,813 - INFO - [render-enqueue] 2GQG bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2GQG_NOLIG/receptor/2GQG_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/2GQG.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
13	soft	render.enqueue_none	4XV2		Controls/RDK not enqueued	1	2025-10-08 20:41:51	docked/4XV2/protein.log	2025-10-08 20:41:51,671 - INFO - [render-enqueue] 4XV2 bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4XV2_NOLIG/receptor/4XV2_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/4XV2.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
14	soft	render.enqueue_none	5MO4		Controls/RDK not enqueued	1	2025-10-08 20:41:51	docked/5MO4/protein.log	2025-10-08 20:41:51,811 - INFO - [render-enqueue] 5MO4 bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/5MO4_NOLIG/receptor/5MO4_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/5MO4.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
15	soft	render.enqueue_none	6O0L		Controls/RDK not enqueued	1	2025-10-08 20:41:29	docked/6O0L/protein.log	2025-10-08 20:41:29,905 - INFO - [render-enqueue] 6O0L bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6O0L_NOLIG/receptor/6O0L_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/6O0L.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
16	soft	render.enqueue_none	6O0K		Controls/RDK not enqueued	1	2025-10-08 20:41:26	docked/6O0K/protein.log	2025-10-08 20:41:26,523 - INFO - [render-enqueue] 6O0K bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6O0K_NOLIG/receptor/6O0K_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/6O0K.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
