rank	severity	rule_id	pdb	ligand	message	count	recency	file	sample	hint
1	soft	render.enqueue_none	2025		Controls/RDK not enqueued	3	2025-10-09 20:19:10	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251009_201816.log	2025-10-09 20:18:47,537 - INFO - [render-enqueue] 3ZBF bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3ZBF_NOLIG/receptor/3ZBF_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/3ZBF.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
2	soft	render.enqueue_none	2HYY		Controls/RDK not enqueued	1	2025-10-09 20:19:51	docked/2HYY/protein.log	2025-10-09 20:19:51,312 - INFO - [render-enqueue] 2HYY bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2HYY_NOLIG/receptor/2HYY_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/2HYY.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
3	soft	render.enqueue_none	5L7I		Controls/RDK not enqueued	1	2025-10-09 20:19:43	docked/5L7I/protein.log	2025-10-09 20:19:43,377 - INFO - [render-enqueue] 5L7I bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/5L7I_NOLIG/receptor/5L7I_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/5L7I.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
4	soft	render.enqueue_none	6U4J		Controls/RDK not enqueued	1	2025-10-09 20:19:10	docked/6U4J/protein.log	2025-10-09 20:19:10,482 - INFO - [render-enqueue] 6U4J bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6U4J_NOLIG/receptor/6U4J_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/6U4J.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
5	soft	render.enqueue_none	4XV2		Controls/RDK not enqueued	1	2025-10-09 20:19:08	docked/4XV2/protein.log	2025-10-09 20:19:08,026 - INFO - [render-enqueue] 4XV2 bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4XV2_NOLIG/receptor/4XV2_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/4XV2.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
6	soft	render.enqueue_none	3ZOS		Controls/RDK not enqueued	1	2025-10-09 20:19:07	docked/3ZOS/protein.log	2025-10-09 20:19:07,794 - INFO - [render-enqueue] 3ZOS bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3ZOS_NOLIG/receptor/3ZOS_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/3ZOS.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
7	soft	render.enqueue_none	4XUF		Controls/RDK not enqueued	1	2025-10-09 20:19:02	docked/4XUF/protein.log	2025-10-09 20:19:02,681 - INFO - [render-enqueue] 4XUF bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4XUF_NOLIG/receptor/4XUF_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/4XUF.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
8	soft	render.enqueue_none	2GQG		Controls/RDK not enqueued	1	2025-10-09 20:18:58	docked/2GQG/protein.log	2025-10-09 20:18:58,408 - INFO - [render-enqueue] 2GQG bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2GQG_NOLIG/receptor/2GQG_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/2GQG.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
9	soft	render.enqueue_none	6O0L		Controls/RDK not enqueued	1	2025-10-09 20:18:58	docked/6O0L/protein.log	2025-10-09 20:18:58,667 - INFO - [render-enqueue] 6O0L bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6O0L_NOLIG/receptor/6O0L_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/6O0L.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
10	soft	render.enqueue_none	3OG7		Controls/RDK not enqueued	1	2025-10-09 20:18:54	docked/3OG7/protein.log	2025-10-09 20:18:54,511 - INFO - [render-enqueue] 3OG7 bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3OG7_NOLIG/receptor/3OG7_NOLIG_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/3OG7.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.
